timestamp,Air pressure,Total acceleration,Altitude
0.0,101300.0,0.0,0.0
0.01,101300.0,3.062,0.0
0.02,101300.0,15.94,0.0004187
0.03,101300.0,28.823,0.002
0.04,101300.0,41.71,0.007
0.05,101300.0,54.6,0.016
0.06,101300.0,53.351,0.031
0.07,101300.0,52.101,0.05
0.08,101300.0,50.85,0.075
0.09,101300.0,49.598,0.105
0.1,101300.0,48.345,0.14
0.11,101300.0,48.605,0.18
0.12,101300.0,48.865,0.224
0.13,101300.0,49.125,0.274
0.14,101300.0,49.386,0.328
0.15,101300.0,49.646,0.388
0.16,101300.0,49.906,0.452
0.17,101300.0,50.167,0.521
0.18,101300.0,50.427,0.595
0.19,101300.0,50.687,0.675
0.2,101300.0,50.947,0.759
0.21,101300.0,50.939,0.849
0.22,101300.0,50.931,0.943
0.23,101300.0,50.922,1.043
0.245,101300.0,50.909,1.202
0.268,101300.0,50.888,1.462
0.301,101300.0,50.853,1.901
0.351,101300.0,50.797,2.657
0.4,101300.0,50.735,3.516
0.45,101300.0,50.554,4.523
0.5,101300.0,50.367,5.656
0.55,101200.0,49.995,6.915
0.6,101200.0,49.617,8.299
0.65,101200.0,49.228,9.807
0.7,101200.0,48.835,11.438
0.75,101200.0,48.437,13.191
0.8,101100.0,48.029,15.065
0.85,101100.0,47.618,17.059
0.9,101100.0,47.199,19.172
0.95,101100.0,46.776,21.403
1.0,101000.0,46.346,23.752
1.05,101000.0,45.702,26.216
1.1,101000.0,45.052,28.794
1.15,101000.0,44.398,31.485
1.2,100900.0,43.738,34.286
1.25,100900.0,43.073,37.197
1.3,100900.0,42.403,40.216
1.35,100800.0,41.729,43.34
1.4,100800.0,41.051,46.569
1.45,100700.0,40.369,49.9
1.5,100700.0,39.682,53.332
1.55,100700.0,38.917,56.863
1.6,100600.0,38.15,60.491
1.65,100600.0,37.378,64.214
1.7,100500.0,36.605,68.029
1.75,100500.0,35.828,71.936
1.8,100400.0,35.05,75.933
1.85,100400.0,34.269,80.016
